date,candle_idx,signal,quantity,entry_price,entry_cost,status
2018-01-11,5,1,1,254.52,0.12726,entry
2018-01-15,6,1,1,248.26,0.12413,entry
2018-01-16,7,1,1,258.79,0.129395,entry
2018-01-17,8,1,1,255.26,0.12763,entry
2018-01-18,9,1,1,254.07,0.127035,entry
2018-01-19,10,1,1,257.86,0.12893000000000002,entry
2018-01-22,11,1,1,258.86,0.12943000000000002,entry
2018-01-23,12,1,1,258.45,0.129225,entry
2018-01-24,13,1,1,255.77,0.127885,entry
2018-01-25,14,1,1,253.07,0.126535,entry
2018-01-26,15,1,1,250.53,0.12526500000000002,entry
2018-01-29,16,1,1,246.49,0.12324500000000001,entry
2018-01-30,17,1,1,255.8,0.1279,entry
2018-01-31,18,1,1,257.5,0.12875,entry
2018-02-01,19,1,1,250.67,0.125335,entry
2018-02-02,20,1,1,260.31,0.130155,entry
2018-02-05,21,1,1,262.26,0.13113,entry
2018-02-07,22,1,1,265.84,0.13291999999999998,entry
2018-02-08,23,1,1,243.72,0.12186,entry
2018-02-13,24,1,1,269.36,0.13468000000000002,entry
2018-02-14,25,1,1,267.95,0.133975,entry
2018-02-15,26,1,1,266.06,0.13303,entry
2018-02-16,27,1,1,266.3,0.13315000000000002,entry
2018-02-19,28,1,1,266.27,0.133135,entry
2018-02-20,29,1,1,264.61,0.132305,entry
2018-02-21,30,1,1,266.93,0.133465,entry
2018-02-22,31,1,1,267.67,0.133835,entry
2018-02-23,32,1,1,272.15,0.136075,entry
2018-02-26,33,1,1,267.26,0.13363,entry
2018-02-27,34,1,1,271.65,0.135825,entry
2018-02-28,35,1,1,277.61,0.138805,entry
2018-03-01,36,1,1,248.76,0.12438,entry
2018-03-05,37,1,1,258.88,0.12944,entry
2018-03-07,38,1,1,262.56,0.13128,entry
2018-03-08,39,1,1,241.36,0.12068000000000001,entry
2018-03-09,40,1,1,246.55,0.12327500000000001,entry
2018-03-12,41,1,1,265.82,0.13291,entry
2018-03-13,42,1,1,282.85,0.14142500000000002,entry
2018-03-14,43,1,1,284.25,0.142125,entry
2018-03-15,44,1,1,279.04,0.13952,entry
2018-03-16,45,1,1,277.86,0.13893,entry
2018-03-19,46,1,1,273.9,0.13695,entry
2018-03-20,47,1,1,275.07,0.137535,entry
2018-03-21,48,1,1,269.52,0.13476,entry
2018-03-22,49,1,1,270.0,0.135,entry
2018-03-23,50,1,1,270.64,0.13532,entry
2018-03-26,51,1,1,268.05,0.134025,entry
2018-03-27,52,1,1,270.41,0.13520500000000002,entry
2018-03-28,53,1,1,275.85,0.13792500000000002,entry
2018-03-29,54,1,1,276.59,0.138295,entry
2018-04-04,55,1,1,272.4,0.1362,entry
2018-04-05,56,1,1,260.79,0.130395,entry
2018-04-06,57,1,1,261.8,0.13090000000000002,entry
2018-04-09,58,1,1,249.49,0.12474500000000001,entry
2018-04-10,59,1,1,250.92,0.12546,entry
2018-04-12,60,1,1,264.97,0.13248500000000002,entry
2018-04-13,61,1,1,263.26,0.13163,entry
2018-04-16,62,1,1,257.24,0.12862,entry
2018-04-17,63,1,1,263.14,0.13157,entry
2018-05-17,83,1,1,276.34,0.13817,entry
2018-05-18,84,1,1,275.71,0.137855,entry
2018-05-21,85,1,1,271.76,0.13588,entry
2018-05-22,86,1,1,270.37,0.135185,entry
2018-05-24,87,1,1,266.46,0.13323,entry
2018-05-25,88,1,1,266.67,0.133335,entry
2018-05-28,89,1,1,264.72,0.13236,entry
2018-05-29,90,1,1,267.17,0.133585,entry
2018-05-30,91,1,1,262.59,0.131295,entry
2018-05-31,92,1,1,262.48,0.13124000000000002,entry
2018-06-04,93,1,1,269.07,0.134535,entry
2018-06-27,107,1,1,270.71,0.135355,entry
2018-06-28,108,1,1,267.43,0.133715,entry
2018-06-29,109,1,1,268.41,0.13420500000000002,entry
2018-07-02,110,1,1,253.19,0.126595,entry
2018-07-03,111,1,1,279.51,0.139755,entry
2018-07-05,112,1,1,264.48,0.13224000000000002,entry
2018-11-22,200,1,1,261.34,0.13066999999999998,entry
2018-11-23,201,1,1,263.3,0.13165000000000002,entry
2018-11-26,202,1,1,265.0,0.1325,entry
2018-11-27,203,1,1,267.72,0.13386,entry
2018-11-28,204,1,1,265.39,0.132695,entry
2018-11-29,205,1,1,267.34,0.13366999999999998,entry
2018-11-30,206,1,1,265.39,0.132695,entry
2018-12-03,207,1,1,282.83,0.14141499999999999,entry
2018-12-04,208,1,1,266.69,0.133345,entry
2018-12-06,209,1,1,261.08,0.13054,entry
2018-12-07,210,1,1,260.0,0.13,entry
2018-12-10,211,1,1,249.17,0.124585,entry
2018-12-11,212,1,1,259.14,0.12957,entry
2018-12-12,213,1,1,261.81,0.130905,entry
2018-12-13,214,1,1,260.91,0.13045500000000002,entry
2018-12-14,215,1,1,260.07,0.130035,entry
2018-12-17,216,1,1,261.42,0.13071000000000002,entry
2018-12-18,217,1,1,261.63,0.130815,entry
2018-12-19,218,1,1,260.83,0.130415,entry
2018-12-20,219,1,1,261.68,0.13084,entry
2018-12-21,220,1,1,264.19,0.132095,entry
2018-12-24,221,1,1,262.9,0.13144999999999998,entry
2018-12-25,222,1,1,266.28,0.13313999999999998,entry
2018-12-26,223,1,1,266.47,0.13323500000000002,entry
2018-12-27,224,1,1,267.64,0.13382,entry
2018-12-28,225,1,1,266.6,0.1333,entry
2018-12-31,226,1,1,267.11,0.133555,entry
2019-01-01,227,1,1,267.53,0.133765,entry
2019-01-02,228,1,1,282.78,0.14139,entry
2019-01-04,229,1,1,309.2,0.1546,entry
2019-01-07,230,1,1,298.67,0.14933500000000002,entry
2019-01-08,231,1,1,288.52,0.14426,entry
2019-01-10,232,1,1,267.97,0.13398500000000002,entry
2019-01-11,233,1,1,256.14,0.12807,entry
2019-01-14,234,1,1,270.76,0.13538,entry
2019-01-15,235,1,1,274.49,0.137245,entry
2019-01-16,236,1,1,277.6,0.1388,entry
2019-01-17,237,1,1,277.94,0.13897,entry
2019-01-18,238,1,1,279.98,0.13999,entry
2019-01-21,239,1,1,278.4,0.1392,entry
2019-01-22,240,1,1,278.01,0.139005,entry
2019-01-23,241,1,1,281.08,0.14054,entry
2019-01-24,242,1,1,283.01,0.141505,entry
2019-01-25,243,1,1,285.65,0.14282499999999998,entry
2019-01-28,244,1,1,283.05,0.141525,entry
2019-01-29,245,1,1,282.83,0.14141499999999999,entry
2019-01-30,246,1,1,281.02,0.14051,entry
2019-01-31,247,1,1,285.68,0.14284,entry
2019-02-01,248,1,1,267.8,0.13390000000000002,entry
2019-02-04,249,1,1,303.08,0.15154,entry
2019-02-05,250,1,1,280.57,0.140285,entry
2019-02-07,251,1,1,298.48,0.14924,entry
2019-02-08,252,1,1,288.13,0.144065,entry
2019-02-12,253,1,1,271.44,0.13572,entry
2019-02-13,254,1,1,296.45,0.148225,entry
2019-02-14,255,1,1,290.08,0.14504,entry
2019-02-15,256,1,1,287.72,0.14386000000000002,entry
2019-02-18,257,1,1,288.72,0.14436000000000002,entry
2019-02-19,258,1,1,294.21,0.14710499999999999,entry
2019-02-20,259,1,1,300.06,0.15003,entry
2019-02-21,260,1,1,302.79,0.151395,entry
2019-02-22,261,1,1,302.86,0.15143,entry
2019-02-25,262,1,1,308.73,0.154365,entry
2019-02-26,263,1,1,308.4,0.1542,entry
2019-02-27,264,1,1,306.62,0.15331,entry
2019-02-28,265,1,1,309.57,0.154785,entry
2019-03-01,266,1,1,302.57,0.151285,entry
2019-03-04,267,1,1,301.96,0.15098,entry
2019-03-05,268,1,1,284.93,0.142465,entry
2019-03-06,269,1,1,288.66,0.14433,entry
2019-03-07,270,1,1,293.72,0.14686000000000002,entry
2019-03-12,271,1,1,264.6,0.1323,entry
2019-03-13,272,1,1,287.55,0.14377500000000001,entry
2019-03-14,273,1,1,279.23,0.13961500000000002,entry
2019-03-15,274,1,1,279.74,0.13987,entry
2019-03-18,275,1,1,280.12,0.14006000000000002,entry
2019-03-19,276,1,1,284.06,0.14203000000000002,entry
2019-03-20,277,1,1,285.67,0.14283500000000002,entry
2019-03-21,278,1,1,292.36,0.14618,entry
2019-03-22,279,1,1,296.43,0.148215,entry
2019-03-25,280,1,1,303.44,0.15172,entry
2019-03-26,281,1,1,303.9,0.15195,entry
2019-03-27,282,1,1,302.7,0.15134999999999998,entry
2019-03-28,283,1,1,304.49,0.15224500000000002,entry
2019-03-29,284,1,1,305.86,0.15293,entry
2019-04-01,285,1,1,269.76,0.13488,entry
2019-04-02,286,1,1,287.27,0.14363499999999998,entry
2019-04-03,287,1,1,302.08,0.15104,entry
2019-04-04,288,1,1,301.88,0.15094,entry
2019-04-09,289,1,1,273.89,0.13694499999999998,entry
2019-04-10,290,1,1,262.61,0.131305,entry
2019-04-11,291,1,1,253.21,0.126605,entry
2019-04-12,292,1,1,265.2,0.1326,entry
2019-04-15,293,1,1,288.28,0.14414,entry
2019-04-16,294,1,1,281.61,0.140805,entry
2019-04-17,295,1,1,278.25,0.139125,entry
2019-04-18,296,1,1,276.33,0.13816499999999998,entry
2019-06-06,328,1,1,295.16,0.14758000000000002,entry
2019-06-11,329,1,1,262.91,0.13145500000000002,entry
2019-06-12,330,1,1,267.16,0.13358,entry
2019-06-13,331,1,1,303.78,0.15189,entry
2019-06-14,332,1,1,308.05,0.154025,entry
2019-06-17,333,1,1,306.26,0.15313,entry
2019-06-18,334,1,1,304.05,0.15202500000000002,entry
2019-06-19,335,1,1,305.24,0.15262,entry
2019-06-20,336,1,1,304.56,0.15228,entry
2019-06-21,337,1,1,300.28,0.15014,entry
2019-06-24,338,1,1,299.49,0.14974500000000002,entry
2019-06-25,339,1,1,298.35,0.149175,entry
2019-06-26,340,1,1,299.17,0.14958500000000002,entry
2019-06-27,341,1,1,300.64,0.15032,entry
2019-06-28,342,1,1,299.05,0.14952500000000002,entry
2019-07-01,343,1,1,272.14,0.13607,entry
2019-07-02,344,1,1,289.73,0.14486500000000002,entry
2019-07-03,345,1,1,295.1,0.14755000000000001,entry
2019-07-05,346,1,1,275.63,0.137815,entry
2019-07-08,347,1,1,286.63,0.143315,entry
2019-07-10,348,1,1,261.33,0.130665,entry
2019-07-11,349,1,1,262.23,0.131115,entry
2019-07-15,350,1,1,292.29,0.14614500000000002,entry
2019-07-16,351,1,1,292.82,0.14641,entry
2019-07-17,352,1,1,291.75,0.145875,entry
2019-07-18,353,1,1,291.17,0.14558500000000002,entry
2019-07-19,354,1,1,290.08,0.14504,entry
2019-07-22,355,1,1,290.91,0.14545500000000003,entry
2019-07-23,356,1,1,289.98,0.14499,entry
2019-07-24,357,1,1,290.67,0.14533500000000002,entry
2019-07-25,358,1,1,291.3,0.14565,entry
2019-07-26,359,1,1,289.88,0.14494,entry
2019-07-29,360,1,1,289.84,0.14492,entry
2019-07-30,361,1,1,290.83,0.145415,entry
2020-03-19,505,1,1,275.12,0.13756000000000002,entry
2020-03-20,506,1,1,271.67,0.135835,entry
2020-03-23,507,1,1,274.29,0.13714500000000002,entry
2020-03-24,508,1,1,278.48,0.13924,entry
2020-03-25,509,1,1,274.7,0.13735,entry
2020-03-26,510,1,1,276.47,0.13823500000000002,entry
2020-03-27,511,1,1,281.02,0.14051,entry
2020-03-30,512,1,1,275.1,0.13755,entry
2020-03-31,513,1,1,272.21,0.136105,entry
2020-04-02,514,1,1,262.41,0.13120500000000002,entry
2020-04-03,515,1,1,278.93,0.139465,entry
2020-04-06,516,1,1,286.02,0.14301,entry
2020-04-08,517,1,1,280.35,0.14017500000000002,entry
2020-04-09,518,1,1,275.0,0.1375,entry
2020-04-13,519,1,1,278.28,0.13913999999999999,entry
2020-04-14,520,1,1,279.28,0.13964,entry
2020-04-15,521,1,1,278.97,0.13948500000000003,entry
2020-04-16,522,1,1,279.16,0.13958,entry
2020-04-17,523,1,1,278.73,0.13936500000000002,entry
2020-04-20,524,1,1,279.21,0.13960499999999998,entry
2020-04-21,525,1,1,280.49,0.140245,entry
2020-04-22,526,1,1,282.17,0.14108500000000002,entry
2020-04-23,527,1,1,279.35,0.13967500000000002,entry
2020-04-24,528,1,1,278.88,0.13944,entry
2020-04-27,529,1,1,278.4,0.1392,entry
2020-04-28,530,1,1,277.35,0.13867500000000002,entry
2020-04-29,531,1,1,278.12,0.13906000000000002,entry
2020-04-30,532,1,1,277.47,0.13873500000000002,entry
2020-05-01,533,1,1,278.98,0.13949,entry
2020-05-04,534,1,1,276.96,0.13848,entry
2020-05-05,535,1,1,275.63,0.137815,entry
2020-05-06,536,1,1,285.4,0.1427,entry
2020-05-07,537,1,1,278.01,0.139005,entry
2020-05-08,538,1,1,278.56,0.13928000000000001,entry
2020-05-11,539,1,1,309.54,0.15477000000000002,entry
2020-05-13,540,1,1,280.15,0.140075,entry
2020-05-14,541,1,1,279.26,0.13963,entry
2020-05-15,542,1,1,278.95,0.139475,entry
2020-05-18,543,1,1,280.69,0.140345,entry
2020-05-19,544,1,1,280.23,0.14011500000000002,entry
2020-05-20,545,1,1,280.21,0.14010499999999998,entry
2020-05-21,546,1,1,279.87,0.139935,entry
2020-05-22,547,1,1,277.25,0.138625,entry
2020-05-25,548,1,1,276.72,0.13836,entry
2020-05-26,549,1,1,276.76,0.13838,entry
2020-05-27,550,1,1,276.66,0.13833,entry
2020-05-28,551,1,1,278.26,0.13913,entry
2020-05-29,552,1,1,280.02,0.14001,entry
2020-06-01,553,1,1,259.37,0.129685,entry
2020-06-02,554,1,1,268.61,0.134305,entry
2020-06-03,555,1,1,285.95,0.142975,entry
2020-06-04,556,1,1,272.2,0.1361,entry
2020-06-05,557,1,1,277.04,0.13852,entry
2020-06-08,558,1,1,277.25,0.138625,entry
2020-06-10,559,1,1,298.3,0.14915,entry
2020-06-16,560,1,1,287.19,0.143595,entry
2020-06-17,561,1,1,285.51,0.142755,entry
2020-06-18,562,1,1,286.5,0.14325000000000002,entry
2020-06-19,563,1,1,286.62,0.14331,entry
2020-06-22,564,1,1,286.88,0.14344,entry
2020-06-23,565,1,1,288.38,0.14419,entry
2020-06-24,566,1,1,288.52,0.14426,entry
2020-06-25,567,1,1,287.18,0.14359,entry
2020-06-26,568,1,1,286.71,0.14335499999999998,entry
2020-06-29,569,1,1,287.0,0.14350000000000002,entry
2020-06-30,570,1,1,290.03,0.14501499999999998,entry
2020-07-01,571,1,1,257.86,0.12893000000000002,entry
2020-07-02,572,1,1,264.57,0.13228499999999999,entry
2020-07-07,573,1,1,288.83,0.144415,entry
2020-07-08,574,1,1,269.69,0.134845,entry
2020-07-09,575,1,1,274.13,0.137065,entry
2020-07-13,576,1,1,286.97,0.14348500000000003,entry
2020-07-14,577,1,1,286.21,0.14310499999999998,entry
2020-07-15,578,1,1,283.69,0.141845,entry
2020-07-16,579,1,1,285.99,0.142995,entry
2020-07-17,580,1,1,284.63,0.142315,entry
2020-07-20,581,1,1,284.03,0.142015,entry
2020-07-21,582,1,1,284.31,0.142155,entry
2020-07-23,583,1,1,282.14,0.14107,entry
2020-07-24,584,1,1,281.86,0.14093,entry
2020-07-27,585,1,1,282.97,0.14148500000000003,entry
2020-07-28,586,1,1,283.32,0.14166,entry
2020-07-29,587,1,1,281.69,0.140845,entry
2020-07-30,588,1,1,279.39,0.13969499999999999,entry
2020-09-14,615,1,1,294.49,0.14724500000000001,entry
2020-09-15,616,1,1,294.11,0.14705500000000002,entry
2020-09-16,617,1,1,296.16,0.14808000000000002,entry
2020-09-17,618,1,1,297.38,0.14869,entry
2020-09-18,619,1,1,298.95,0.149475,entry
2020-09-21,620,1,1,299.07,0.149535,entry
2020-09-22,621,1,1,298.8,0.1494,entry
2020-09-23,622,1,1,291.84,0.14592,entry
2020-09-24,623,1,1,289.21,0.14460499999999998,entry
2020-09-25,624,1,1,286.09,0.14304499999999998,entry
2020-09-28,625,1,1,287.45,0.143725,entry
2020-09-29,626,1,1,286.45,0.143225,entry
2020-09-30,627,1,1,289.57,0.144785,entry
2020-10-01,628,1,1,257.16,0.12858000000000003,entry
2020-10-02,629,1,1,264.83,0.132415,entry
2020-10-06,630,1,1,284.79,0.14239500000000002,entry
2020-10-07,631,1,1,284.92,0.14246,entry
2020-10-08,632,1,1,272.75,0.136375,entry
