,0
2018-04-12,-0.042466287285525525
2018-04-13,-0.025479772371315313
2018-04-16,-0.031141944009385383
2018-04-17,-0.04529737310456056
2018-04-18,-0.05662171638070069
2018-04-19,-0.062283888018770765
2018-04-20,-0.07643931711394594
2018-04-23,-0.05945280219973573
2018-04-24,-0.0651149738378058
2018-04-25,-0.050959544742630626
2018-04-26,-0.05662171638070069
2018-04-27,-0.0651149738378058
2018-04-30,-0.07927040293298097
2018-05-01,-0.09059474620912111
2018-05-03,-0.09059474620912111
2018-05-04,-0.08493257457105105
2018-05-07,-0.08493257457105105
2018-05-09,-0.08493257457105105
2018-05-10,-0.08493257457105105
2018-05-11,-0.07927040293298097
2018-05-14,-0.07927040293298097
2018-05-15,-0.07360823129491091
2018-05-16,-0.06333754402935929
2018-05-17,-0.07488807987128157
2018-05-18,-0.05596130521480159
2018-05-21,-0.08661457101549273
2018-05-22,-0.10586225346338
2018-05-24,-0.09078167290401147
2018-05-25,-0.08083299642138009
2018-05-28,-0.08829450378335361
2018-05-29,-0.08332016554203793
2018-05-30,-0.06590998169743298
2018-05-31,-0.08083299642138009
2018-06-04,-0.07834582730072223
2018-06-06,-0.01807643307237831
2018-06-07,-0.03357051856298829
2018-06-08,-0.051646951635366596
2018-06-11,-0.05422929921713493
2018-06-12,0.014823680517509622
2018-06-13,0.002831085819035035
2018-06-15,0.00449680446953066
2018-06-18,0.03528741782112667
2018-06-19,-0.0017410183844604938
2018-06-20,-0.0964529909054686
2018-06-21,-0.08487863199681238
2018-06-22,-0.07716239272437488
2018-06-25,-0.09259487126924985
2018-06-27,-0.09259487126924985
2018-06-28,-0.08102051236059363
2018-06-29,-0.06558803381571866
2018-07-02,-0.05015555527084368
2018-07-03,-0.05015555527084368
2018-07-05,-0.06558803381571866
2018-07-06,-0.05401367490706242
2018-07-09,-0.05015555527084368
2018-07-11,-0.057871794543281174
2018-07-12,-0.06558803381571866
2018-07-13,-0.07716239272437488
2018-07-16,-0.09259487126924985
2018-07-17,-0.09259487126924985
2018-07-18,-0.08102051236059363
2018-07-19,-0.0964529909054686
2018-07-20,-0.09259487126924985
2018-07-23,-0.09259487126924985
2018-07-24,-0.07716239272437488
2018-07-25,-0.07330427308815614
2018-07-26,-0.06172991417949991
2018-07-27,-0.07330427308815614
2018-07-30,-0.07330427308815614
2018-07-31,-0.07716239272437488
2018-08-01,-0.08102051236059363
2018-08-02,-0.08102051236059363
2018-08-03,-0.0694461534519374
2018-08-06,-0.0694461534519374
2018-08-08,-0.0694461534519374
2018-08-13,-0.07330427308815614
2018-08-14,-0.07330427308815614
2018-08-15,-0.08487863199681238
2018-08-16,-0.0964529909054686
2018-08-17,-0.0964529909054686
2018-08-20,-0.08873675163303113
2018-08-21,-0.09259487126924985
2018-08-22,-0.11260089044928452
2018-08-23,-0.11794876174240279
2018-08-24,-0.1916963634848299
2018-08-27,
2018-08-28,
2018-08-29,
2018-08-30,
2018-08-31,0.10148631008020408
2018-09-03,0.12331006909433019
2018-09-04,0.06844367850838864
2018-09-05,0.015432478544874978
2018-09-07,-0.03656138607367037
2018-09-10,-0.04004342284259136
2018-09-11,-0.03307934930474938
2018-09-13,-0.02611527576690741
2018-09-14,-0.015669165460144446
2018-09-17,-0.015669165460144446
2018-09-18,-0.015669165460144446
2018-09-19,-0.02611527576690741
2018-09-20,-0.008705091922302469
2018-09-21,-0.0017410183844604938
2018-09-24,-0.005223055153381481
2018-09-25,-0.008705091922302469
2018-09-26,-0.008705091922302469
2018-09-27,-0.008705091922302469
2018-09-28,-0.008705091922302469
2018-10-01,-0.02611527576690741
2018-10-04,-0.04004342284259136
2018-10-05,-0.04004342284259136
2018-10-08,-0.050489533149354324
2018-10-09,-0.04352545961151234
2018-10-10,-0.04004342284259136
2018-10-12,-0.053971569918275314
2018-10-15,-0.06093564345611728
2018-10-16,-0.0574536066871963
2018-10-17,-0.050489533149354324
2018-10-18,-0.050489533149354324
2018-10-19,-0.04352545961151234
2018-10-22,-0.053971569918275314
2018-10-23,-0.06093564345611728
2018-10-24,-0.050489533149354324
2018-10-25,-0.04700749638043333
2018-10-26,-0.04700749638043333
2018-10-29,-0.06441768022503827
2018-10-30,-0.07486379053180123
2018-10-31,-0.0574536066871963
2018-11-01,-0.050489533149354324
2018-11-05,-0.050489533149354324
2018-11-06,0.003207947074647879
2018-11-07,0.006415894149295758
2018-11-09,-0.003207947074647879
2018-11-12,0.07344780633566746
2018-11-13,0.07944354562837501
2018-11-14,0.09059474620912111
2018-11-15,0.03908061227343446
2018-11-16,0.05255668547117047
2018-11-19,0.057947114750264886
2018-11-21,0.057947114750264886
2018-11-22,0.057947114750264886
2018-11-23,0.0687279733084537
2018-11-26,0.0687279733084537
2018-11-27,0.04131756130829328
2018-11-28,0.05422929921713493
2018-11-29,0.04906460405359826
2018-11-30,0.04131756130829328
2018-12-03,0.051646951635366596
2018-12-04,0.06455868954420825
2018-12-06,0.009433251238415215
2018-12-07,-0.042466287285525525
2018-12-10,-0.013490413408591981
2018-12-11,0.016039735373239394
2018-12-12,0.07138175376288024
2018-12-13,0.07138175376288024
2018-12-14,0.07138175376288024
2018-12-17,0.07138175376288024
2018-12-18,0.06789971699395925
2018-12-19,0.06093564345611728
2018-12-20,0.050489533149354324
2018-12-21,0.0574536066871963
2018-12-24,0.050489533149354324
2018-12-25,0.04352545961151234
2018-12-26,0.053971569918275314
2018-12-27,0.06093564345611728
2018-12-28,0.04352545961151234
2018-12-31,0.03656138607367037
2019-01-01,0.04811920611971819
2019-01-02,0.10042863315285144
2019-01-04,0.07643931711394594
2019-01-07,0.03369018299434005
2019-01-08,0.08263512261658656
2019-01-10,0.10321751850730072
2019-01-11,0.13713973744119684
2019-01-14,0.1539814595830982
2019-01-15,0.14600210318673562
2019-01-16,0.10466816194884297
2019-01-17,0.1477983067461032
2019-01-18,0.102284830087054
2019-01-21,0.07581748329959904
2019-01-22,0.08436029831927218
2019-01-23,0.14280641429415028
2019-01-24,0.08171994515436794
2019-01-25,0.10207625085769782
2019-01-28,0.045398370717357396
2019-01-29,0.08171706729124333
2019-01-30,0.09785871021297039
2019-01-31,0.10185133764005173
2019-02-01,0.08787174227769169
2019-02-04,0.0679008917600345
2019-02-05,0.03934525462170974
2019-02-07,0.05346919217822094
2019-02-08,0.10185133764005173
2019-02-12,0.07566395119559567
2019-02-13,0.07566395119559567
2019-02-14,0.04491355037738705
2019-02-15,0.0920642420093512
2019-02-18,0.09827082012234119
2019-02-19,0.1024085388643345
2019-02-20,0.08585766389636125
2019-02-21,0.1082008259091597
2019-02-22,0.08370252570331221
2019-02-25,0.09785871021297039
2019-02-26,0.08171706729124333
2019-02-27,0.07364624583037978
2019-02-28,0.07364624583037978
2019-03-01,0.06557542436951626
2019-03-04,0.06355771900430036
2019-03-05,0.033292138526062096
2019-03-06,0.019168200969550898
2019-03-07,0.009079674143471479
2019-03-12,-0.0010088526826079421
2019-03-13,0.02320361169998267
2019-03-14,0.013115084873903247
2019-03-15,0.011097379508687364
2019-03-18,-0.011097379508687364
2019-03-19,-0.02320361169998267
2019-03-20,-0.021185906334766785
2019-03-21,-0.021185906334766785
2019-03-22,-0.0010088526826079421
2019-03-25,-0.017150495604335018
2019-03-26,-0.013115084873903247
2019-03-27,-0.029256727795630325
2019-03-28,-0.05750460290865271
2019-03-29,-0.1078425927953489
2019-04-01,-0.11975407328118529
2019-04-02,-0.09204238690206804
2019-04-03,-0.08412476222232024
2019-04-04,-0.06631010669288774
2019-04-09,-0.07620713754257247
2019-04-10,-0.057915466501205895
2019-04-11,-0.05952230827386859
2019-04-12,-0.07145337560038847
2019-04-15,-0.10861511697732446
2019-04-16,-0.12930371068729102
2019-04-17,-0.13230594265487453
2019-04-18,-0.10144592835861845
2019-04-19,-0.13275265181511267
2019-04-22,-0.11001528096138512
2019-04-23,-0.07508802922416996
2019-04-24,-0.07508802922416996
2019-04-25,-0.11563366572389464
2019-04-26,-0.0769907297915491
2019-04-29,-0.09326884202466931
2019-04-30,-0.04648225647182994
2019-05-02,-0.04906460405359826
2019-05-03,-0.051646951635366596
2019-05-06,-0.057947114750264886
2019-05-07,-0.057947114750264886
2019-05-08,-0.049861470831623275
2019-05-09,-0.05255668547117047
2019-05-13,-0.06064232938981209
2019-05-14,-0.1387232051327167
2019-05-15,-0.14438537677078678
2019-05-16,-0.1387232051327167
2019-05-17,-0.14155429095175173
2019-05-20,-0.15570972004692693
2019-05-21,-0.15287863422789189
2019-05-22,-0.14155429095175173
2019-05-23,-0.15287863422789189
2019-05-24,-0.1813711136044033
2019-05-27,-0.172377504665342
2019-05-28,-0.1988927186281685
2019-05-29,-0.13057637883453704
2019-05-30,-0.12361230529669506
2019-05-31,-0.12709434206561604
2019-06-03,-0.12361230529669506
2019-06-05,-0.11664823175885311
2019-06-06,-0.13794172420985878
2019-06-11,-0.14539667784815805
2019-06-12,-0.1217366902185065
2019-06-13,-0.10646097826211456
2019-06-14,-0.12395268392487982
2019-06-17,-0.11067902586927425
2019-06-18,-0.12751589621725318
2019-06-19,-0.07124902635512699
2019-06-20,-0.05688487062437118
2019-06-21,-0.06826184474924542
2019-06-24,-0.052334080974421486
2019-06-25,-0.06371105509929573
2019-06-26,-0.06598644992427057
2019-06-27,-0.07508802922416996
2019-06-28,-0.06371105509929573
2019-07-01,-0.050058686149446634
2019-07-02,0.001168016825493885
2019-07-03,0.03127748397781682
2019-07-05,0.019247682447887274
2019-07-08,0.00870509192230247
2019-07-10,-0.056811646798903256
2019-07-11,-0.02829975371524564
2019-07-15,-0.036385397633887255
2019-07-16,-0.057947114750264886
2019-07-17,-0.044471041552528866
2019-07-18,-0.03369018299434005
2019-07-19,-0.03369018299434005
2019-07-22,-0.012128465877962418
2019-07-23,-0.001347607319773602
2019-07-24,-0.001347607319773602
2019-07-25,0.014823680517509622
2019-07-26,0.001347607319773602
2019-07-29,0.004042821959320805
2019-07-30,-0.006738036598868009
2019-07-31,0.017518895157056825
2019-08-01,0.036385397633887255
2019-08-02,0.05525190011071768
2019-08-05,0.049861470831623275
2019-08-07,0.02829975371524564
2019-08-08,0.017518895157056825
2019-08-13,0.02829975371524564
2019-08-14,0.022909324436151235
2019-08-15,0.03908061227343446
2019-08-16,0.04716625619207607
2019-08-19,0.05255668547117047
2019-08-20,0.057947114750264886
2019-08-21,0.057947114750264886
2019-08-22,0.0714231879480009
2019-08-23,0.0714231879480009
2019-08-26,0.05255668547117047
2019-08-27,0.030994968354792846
2019-08-28,0.03908061227343446
2019-08-29,0.022909324436151235
2019-08-30,0.004042821959320805
2019-09-04,0.02021410979660403
2019-09-05,0.022909324436151235
2019-09-09,0.02021410979660403
2019-09-10,0.02021410979660403
2019-09-12,0.030994968354792846
2019-09-13,0.030994968354792846
2019-09-16,0.07643931711394594
2019-09-17,0.10342650279920519
2019-09-18,0.07699072979154908
2019-09-19,0.04004342284259136
2019-09-20,0.06558803381571866
2019-09-23,0.05961223612020946
2019-09-24,0.1715618352616768
2019-09-25,0.026311265576349205
2019-09-26,
2019-09-27,
2019-09-30,
2019-10-01,
2019-10-04,
2019-10-07,
2019-10-09,
2019-10-10,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-18,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-04,
2019-11-06,
2019-11-07,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,-0.0789337967290476
2019-11-15,-0.0864513011794331
2019-11-18,-0.0864513011794331
2019-11-19,-0.0864513011794331
2019-11-20,-0.0789337967290476
2019-11-21,-0.0789337967290476
2019-11-22,-0.1286713764462576
2019-11-25,-0.015455024179313563
2019-11-27,-0.006623581791134384
2019-11-28,-0.011039302985223973
2019-11-29,-0.02428646656749274
2019-12-02,-0.015455024179313563
2019-12-03,-0.015455024179313563
2019-12-04,-0.01987074537340315
2019-12-06,-0.01987074537340315
