horizon,stream,n,mean,std
20,BB03,846,0.00237369409549555,0.049290780335624625
20,PB07,846,0.00305188423587838,0.053394128181824416
20,BB04,846,0.0009165855812472983,0.045692227180782086
20,BB01,846,0.0021148151508059657,0.06979523349803377
20,MeanReversion,846,0.002858199994955648,0.048716167224987034
10,BB03,856,0.004865557193822372,0.05438495217824588
10,PB07,856,0.004467020821206957,0.06086813762263102
10,BB04,856,0.0025792454829781145,0.05258338434109351
10,BB01,856,0.0031833015820296883,0.07222493592826423
10,MeanReversion,856,0.005365801320846413,0.05558740452413351
