signal,horizon,state,n,mean,median,std,hit_rate,p25,p75
BB03,1,0,767,0.000538336449099276,0.0002439693818425681,0.010241778916612224,0.5215123859191656,-0.004294951441055572,0.0056006067242961866
BB03,1,1,98,-0.0013505713563032908,-0.0013007003534142303,0.009724729393872736,0.42857142857142855,-0.007117795984510067,0.004736759388577594
BB03,3,0,765,0.0020247868785602543,0.000750831277485764,0.040394313453649,0.5084967320261438,-0.012595837897042661,0.017802905001052638
BB03,3,1,98,-0.001127160022661102,-0.005977924513797417,0.05664239226542717,0.40816326530612246,-0.022397872768344207,0.010212668059533803
BB03,5,0,763,0.0034164464216877174,0.0010390245393148145,0.04938541531705598,0.5216251638269986,-0.01833187343171433,0.022631185267530163
BB03,5,1,98,-0.002608181700999782,-0.00520596927402478,0.056332849956859665,0.46938775510204084,-0.03094914407409252,0.0176280749320889
BB03,10,0,758,0.006369159273563321,0.0032950498356763003,0.05346234555475573,0.5408970976253298,-0.021570623516675325,0.03198718321024091
BB03,10,1,98,-0.008972368065274482,-0.007369705958160611,0.05420202736102566,0.45918367346938777,-0.044070285813383264,0.020417494426399452
BB03,20,0,751,0.008862828240902999,0.0033867276887871167,0.05045611850189443,0.5486018641810919,-0.016946139790391945,0.03570867218333973
BB03,20,1,95,0.0014147275218861447,-0.002432998951939047,0.04931183735013519,0.47368421052631576,-0.026744148978426086,0.025836928146656835
BB04,1,0,779,0.00030369135612640156,0.00017765776009093237,0.01010536107559755,0.5121951219512195,-0.004658486580314647,0.00539590147434954
BB04,1,1,86,0.0005113081060343658,-2.0263478819892988e-05,0.01105111619543317,0.5,-0.0040369782215302075,0.00573599292719329
BB04,3,0,779,0.0008755420602199449,-6.0733047888006375e-05,0.041690319102719094,0.4980744544287548,-0.014283565780041085,0.01588496082183799
BB04,3,1,84,0.00900539303531511,-0.0006505087893261541,0.04926610406838159,0.4880952380952381,-0.015568362886599602,0.028829218583569516
BB04,5,0,779,0.001107062211235328,0.0005737234652898326,0.048998847890906215,0.5121951219512195,-0.019298428859149175,0.019728451020191162
BB04,5,1,82,0.01815543110362719,0.004094217690047364,0.058791750236417556,0.5487804878048781,-0.01841418817271978,0.05878657290715483
BB04,10,0,774,0.0037552731387825292,0.0019117231418442904,0.05396089608538623,0.5258397932816538,-0.023751456187487308,0.028817560714913038
BB04,10,1,82,0.012706698165200257,0.008493350013900614,0.05119870273400268,0.5853658536585366,-0.024071436670714236,0.04535005060907665
BB04,20,0,764,0.007705005883018552,0.0027849303091432853,0.05101871648483439,0.5431937172774869,-0.017812865132324773,0.03521383831545072
BB04,20,1,82,0.011021446693550754,0.001561227541231447,0.04385506263271042,0.5121951219512195,-0.018762222477401252,0.0339141834566043
VB03,1,0,849,0.00023866464053484647,0.00011096316023073705,0.01016756079832349,0.508833922261484,-0.004687866239549976,0.005391661305639728
VB03,1,1,16,0.0048701114829586,0.004491961103684994,0.011044474008508748,0.625,-0.0030244908255337155,0.007987279084892607
VB03,3,0,847,0.0013304116467351996,-9.153597363775745e-05,0.04208189294300563,0.4946871310507674,-0.014636999312347576,0.01685842590836606
VB03,3,1,16,0.01947760094331827,0.010188925246433445,0.06074674252127935,0.625,-0.007790771204158636,0.033823195763749814
VB03,5,0,845,0.0022410598514651953,0.0006138070479491109,0.05025498604439921,0.5124260355029586,-0.019800127259797184,0.021430102150153507
VB03,5,1,16,0.02859070241010376,0.02280227598210316,0.042386579882053035,0.6875,-0.0038695280700094814,0.03642603663708699
VB03,10,0,840,0.00456125133056649,0.0026664976179355815,0.05345127291949889,0.530952380952381,-0.023593080102951275,0.029437573306217046
VB03,10,1,16,0.007317471330515447,0.018573694595723556,0.06923243413475952,0.5625,-0.044471948188952615,0.05121655173864287
VB03,20,0,830,0.008084593129069798,0.0027106229827793538,0.050008675318131746,0.5409638554216868,-0.017860538666271852,0.03517224571241612
VB03,20,1,16,0.00501067664808779,0.0020956679850990256,0.06794674177269691,0.5,-0.025045201596969324,0.036890282339863356
VB04,1,0,489,0.00010007077113261555,-0.00021493050580312367,0.010170524176804788,0.49079754601226994,-0.004629106921079318,0.005400141643059353
VB04,1,1,376,0.0006159932352595033,0.0006459025535732188,0.010236811768090473,0.5372340425531915,-0.004506858653892387,0.005647670508797831
VB04,3,0,487,-0.0006436991968090296,-0.0009413336572331454,0.04010595232872973,0.47433264887063653,-0.01584877842789917,0.013946182042026911
VB04,3,1,376,0.004659526033839904,0.00184958364333343,0.04534316432706835,0.526595744680851,-0.012843119174591078,0.023040803673039345
VB04,5,0,485,0.0007179562450859679,0.0004803961420494218,0.0487173686861143,0.5154639175257731,-0.01949799927246254,0.017981299448573518
VB04,5,1,376,0.00532696285686983,0.0011124201052503668,0.05205666907160072,0.5159574468085106,-0.019115086528417924,0.027871564796599857
VB04,10,0,483,0.004002678160603639,0.0030258924467596593,0.05301075683205445,0.5445134575569358,-0.023626393688687408,0.026908130460430724
VB04,10,1,373,0.00540278044877357,0.00140124976330247,0.054727363692074156,0.514745308310992,-0.024462052922361255,0.03452078967685002
VB04,20,0,478,0.0073237983537876436,0.0006114347962975497,0.04932338572241519,0.5125523012552301,-0.018464927378520818,0.03493942333240524
VB04,20,1,368,0.008939150843442507,0.0064771063703142895,0.051717966644039486,0.5760869565217391,-0.014759592708070896,0.03527140250270383
VB01,1,0,547,0.00048031961272933336,0.0006723099960270762,0.011166164997176427,0.5301645338208409,-0.005153744440111685,0.0062370307218625465
VB01,1,1,318,5.601646345432987e-05,-0.0002812964214511382,0.008277320642780497,0.4779874213836478,-0.004049313741484067,0.0042958210753030746
VB01,3,0,546,0.0020035787480767865,0.0013765390649872478,0.04322365155239561,0.5238095238095238,-0.01615412902324273,0.018462045995844167
VB01,3,1,317,0.0010868967931478896,-0.0019259576289321068,0.04135022971385942,0.45110410094637227,-0.012686857264021079,0.012650334075723801
VB01,5,0,546,0.003307578454767963,0.00094734590349288,0.05207133827017995,0.5238095238095238,-0.02009297696675061,0.0224317467886459
VB01,5,1,315,0.0017308221484014041,0.0001466759561439268,0.04691789139384614,0.5015873015873016,-0.018284677676644434,0.021608947508444887
VB01,10,0,543,0.004326058755573569,0.0033998186763370963,0.053439358723806736,0.5414364640883977,-0.024018246233691587,0.030366257263153007
VB01,10,1,313,0.0051101621555516,0.0017130620985010836,0.05433528554722577,0.5143769968051118,-0.023016019149327938,0.029071022522846546
VB01,20,0,539,0.010351202827462748,0.0054803747474130304,0.0518237702650367,0.5732838589981447,-0.01680446580633921,0.03728576988651666
VB01,20,1,307,0.003944901627019265,-0.0007511535572485295,0.047474910018683876,0.4820846905537459,-0.01826221898403574,0.031172247833073263
BB01,1,0,822,0.00041625941079545325,0.00018341003221677976,0.01019089312271241,0.5145985401459854,-0.004535226304137052,0.005594652698469982
BB01,1,1,43,-0.0014329574914521007,-0.0011339154099104798,0.010267942430834549,0.4418604651162791,-0.004490499367603429,0.002637710284472905
BB01,3,0,820,0.0015397338325616272,-6.77120070077808e-05,0.0411457278416136,0.4975609756097561,-0.013515463292562147,0.016825726806659447
BB01,3,1,43,0.004091128771564468,-0.0007555587536878239,0.06397248351811635,0.4883720930232558,-0.021525725371558835,0.02397243751566791
BB01,5,0,818,0.0019324857952693984,0.0004524994176218211,0.048957382505254804,0.5097799511002445,-0.01916980783910094,0.021105717038644
BB01,5,1,43,0.017915661221380982,0.014907127576488044,0.06914183555880923,0.627906976744186,-0.021747588222184422,0.05038497204840431
BB01,10,0,813,0.0038834902875239503,0.002087048912837286,0.05258255862441187,0.5289052890528906,-0.023770934629929852,0.028952422364749708
BB01,10,1,43,0.018401233842026212,0.011552599334850422,0.07160481500608952,0.5813953488372093,-0.030366752733517355,0.05841259571543822
BB01,20,0,806,0.007535318770565212,0.0027849303091432853,0.049233741416643745,0.5421836228287841,-0.017744454814457078,0.03497719361696633
BB01,20,1,40,0.017922904860544375,-2.904218529997671e-06,0.0692853846789273,0.5,-0.019036502739334438,0.041978733087526365
BB02,1,0,831,0.00037367477452104577,0.00012015860936442913,0.010097369243596954,0.5126353790613718,-0.004492518407646751,0.005409245234498039
BB02,1,1,34,-0.0008816374731049054,-0.0003584534392925276,0.012500342613999202,0.47058823529411764,-0.008290587516160158,0.00573599292719329
BB02,3,0,829,0.0017361673433341756,0.0,0.042114773142246494,0.49939686369119424,-0.014570690380340201,0.0176722950368009
BB02,3,1,34,-2.3013169006622256e-05,-0.0038151754388334735,0.05222520266105753,0.4411764705882353,-0.012725083054004799,0.01352017876200401
BB02,5,0,827,0.0025086366575642364,0.0007193669570777494,0.04952777635161373,0.5175332527206772,-0.019078066411924666,0.02172087994535743
BB02,5,1,34,0.008132479330709604,-0.003531199065179347,0.06564737214566349,0.47058823529411764,-0.022238074748795245,0.03646231569709252
BB02,10,0,822,0.004269333898601486,0.0022257759065239524,0.053570968349181444,0.5291970802919708,-0.02365970727442354,0.028817560714913038
BB02,10,1,34,0.012915829244519924,0.018606665037991577,0.05786214257063361,0.5882352941176471,-0.025792256239812184,0.05172076550790261
BB02,20,0,812,0.007766073156224333,0.0027106229827793538,0.05052397944919868,0.5394088669950738,-0.018093419885833878,0.03481601426437958
