signal,horizon,n1,n0,mean1,mean0,spread_1_minus_0,median1,median0,hit1,hit0,welch_t,welch_p
BB03,1,98,767,-0.0013505713563032908,0.000538336449099276,-0.0018889078054025667,-0.0013007003534142303,0.0002439693818425681,0.42857142857142855,0.5215123859191656,-1.7995617783215732,0.07432065178335731
BB03,3,98,765,-0.001127160022661102,0.0020247868785602543,-0.0031519469012213563,-0.005977924513797417,0.000750831277485764,0.40816326530612246,0.5084967320261438,-0.5337584060212422,0.5945857378484903
BB03,5,98,763,-0.002608181700999782,0.0034164464216877174,-0.0060246281226875,-0.00520596927402478,0.0010390245393148145,0.46938775510204084,0.5216251638269986,-1.0100418658749153,0.3145604019370213
BB03,10,98,758,-0.008972368065274482,0.006369159273563321,-0.015341527338837802,-0.007369705958160611,0.0032950498356763003,0.45918367346938777,0.5408970976253298,-2.6408198079390313,0.009346093910034877
BB03,20,95,751,0.0014147275218861447,0.008862828240902999,-0.007448100719016854,-0.002432998951939047,0.0033867276887871167,0.47368421052631576,0.5486018641810919,-1.3834044064787276,0.16910313879577435
BB04,1,86,779,0.0005113081060343658,0.00030369135612640156,0.00020761674990796422,-2.0263478819892988e-05,0.00017765776009093237,0.5,0.5121951219512195,0.16669875666343204,0.8679393006913153
BB04,3,84,779,0.00900539303531511,0.0008755420602199449,0.008129850975095165,-0.0006505087893261541,-6.0733047888006375e-05,0.4880952380952381,0.4980744544287548,1.4572105425933892,0.14831309879560908
BB04,5,82,779,0.01815543110362719,0.001107062211235328,0.017048368892391863,0.004094217690047364,0.0005737234652898326,0.5487804878048781,0.5121951219512195,2.5348364063512228,0.012915901496531197
BB04,10,82,774,0.012706698165200257,0.0037552731387825292,0.008951425026417728,0.008493350013900614,0.0019117231418442904,0.5853658536585366,0.5258397932816538,1.4975483348981875,0.13736819528827973
BB04,20,82,764,0.011021446693550754,0.007705005883018552,0.0033164408105322016,0.001561227541231447,0.0027849303091432853,0.5121951219512195,0.5431937172774869,0.6398936095645957,0.5236223901367922
VB03,1,16,849,0.0048701114829586,0.00023866464053484647,0.004631446842423754,0.004491961103684994,0.00011096316023073705,0.625,0.508833922261484,1.6641435874511417,0.11618693031834253
VB03,3,16,847,0.01947760094331827,0.0013304116467351996,0.018147189296583068,0.010188925246433445,-9.153597363775745e-05,0.625,0.4946871310507674,1.189561049364601,0.2523835310771868
VB03,5,16,845,0.02859070241010376,0.0022410598514651953,0.026349642558638565,0.02280227598210316,0.0006138070479491109,0.6875,0.5124260355029586,2.4541553144294226,0.02611224602125632
VB03,10,16,840,0.007317471330515447,0.00456125133056649,0.0027562199999489577,0.018573694595723556,0.0026664976179355815,0.5625,0.530952380952381,0.15834805564663887,0.8762479813618269
VB03,20,16,830,0.00501067664808779,0.008084593129069798,-0.003073916480982007,0.0020956679850990256,0.0027106229827793538,0.5,0.5409638554216868,-0.18002286281308486,0.8594950328477703
VB04,1,376,489,0.0006159932352595033,0.00010007077113261555,0.0005159224641268878,0.0006459025535732188,-0.00021493050580312367,0.5372340425531915,0.49079754601226994,0.7368548071880068,0.4614255400600408
VB04,3,376,487,0.004659526033839904,-0.0006436991968090296,0.005303225230648933,0.00184958364333343,-0.0009413336572331454,0.526595744680851,0.47433264887063653,1.7906758753468397,0.07374697443853842
VB04,5,376,485,0.00532696285686983,0.0007179562450859679,0.004609006611783862,0.0011124201052503668,0.0004803961420494218,0.5159574468085106,0.5154639175257731,1.3249555350262217,0.1855744544567492
VB04,10,373,483,0.00540278044877357,0.004002678160603639,0.001400102288169931,0.00140124976330247,0.0030258924467596593,0.514745308310992,0.5445134575569358,0.3762436470851414,0.7068371281884964
VB04,20,368,478,0.008939150843442507,0.0073237983537876436,0.0016153524896548631,0.0064771063703142895,0.0006114347962975497,0.5760869565217391,0.5125523012552301,0.4595105701944741,0.6459972122979696
VB01,1,318,547,5.601646345432987e-05,0.00048031961272933336,-0.0004243031492750035,-0.0002812964214511382,0.0006723099960270762,0.4779874213836478,0.5301645338208409,-0.6372088672825724,0.524168029100363
