date,PB01,PB02,PB03,PB04,PB05,PB06,PB07,PB08,BB01,BB02,BB03,BB04,BB05,BB06,BB07,VB01,VB02,VB03,VB04,VB05,open,close,fwd_1d,fwd_3d,fwd_5d,fwd_10d,fwd_20d
2018-01-02,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.38725,0.01408,0,0,0,0,0.67303,259.25,260.32,0.016692123063495545,-0.11429922176158269,-0.0718961379009383,-0.05814968361335371,-0.05604043930467684
2018-01-03,0,0,0,0,0,0,-0.00603,-0.00035,0,0,0,0,0,0.38725,0.01408,0,0,0,0,0.67303,274.98,279.57,0.03918302597660106,-0.00547293277810823,0.029625223081499064,0.02542137616498108,0.028871703351179834
2018-01-05,0,0,0,0,0,0,0.00033,-0.00044,0,0,0,0,0,0.38725,0.01408,0,0,0,0,0.67303,252.15,262.03,-0.007619590905386553,0.039890799445847946,0.036712574362317785,0.039727813544128354,0.07318066987205607
2018-01-08,0,0,0,0,0,0,0.00371,-0.00018,0,0,0,0,0,0.38725,0.01408,0,0,0,0,0.67303,245.42,243.55,0.002037880604171649,0.037401102853033,0.017981299448573518,0.01310636937584908,-0.029609206425317613
2018-01-10,1,1,0,0,1,0,0.00441,0.00037,0,0,0,0,0,0.38725,0.01408,0,1,0,0,0.67303,250.26,250.77,0.002710985384252629,-0.00035360678925033806,0.013358478705013388,-0.016619519094766666,0.054887631620304855
2018-01-11,1,1,0,0,1,0,0.00945,0.00088,0,0,0,0,0,0.38725,0.01408,0,1,0,0,0.67303,254.52,255.21,0.04575847901393715,0.02618222830903094,0.04322081688552326,-0.0033432691533069603,0.07423668734391375
2018-01-15,1,1,0,0,1,0,0.04237,0.00276,0,0,0,0,0,0.38725,0.01408,0,1,0,0,0.67303,248.26,259.62,-0.01684763708025816,-0.0033617991421616145,-0.0008887514973531241,-0.012287955485142388,0.030294833648904396
2018-01-16,1,1,0,0,1,0,0.02067,0.00373,0,0,0,0,0,0.38725,0.01408,0,1,0,0,0.67303,258.79,254.43,-0.00195878711901587,0.014612551907858817,-0.00035258168142282553,0.004466034631356308,0.04125205672647514
2018-01-17,1,1,0,0,1,0,0.02111,0.00457,0,0,0,0,0,0.38725,0.01408,0,1,0,0,0.67303,255.26,254.76,0.01515330420750205,0.0176722950368009,-0.0020860392805132077,0.02322194670760047,0.04242925178100543
2018-01-18,1,1,0,0,1,0,0.03241,0.00592,0,0,0,0,0,0.38725,0.01408,0,1,0,0,0.67303,254.07,257.92,0.004382222911657463,-0.010432017373768865,-0.029357015434732125,-0.03606608237027853,0.0350577832932597
2018-01-19,1,1,0,0,1,0,0.0352,0.00732,0,0,0,0,0,0.38725,0.01408,0,1,0,0,0.67303,257.86,258.99,-0.001158927605655613,-0.020551649540292094,-0.04415514177547708,0.002742795333384729,0.0329521749208066
2018-01-22,1,1,0,0,0,0,0.03213,0.00844,0,0,0,0,0,0.38725,0.01361,0,0,0,0,0.67303,258.86,258.56,-0.012691042754884863,-0.03157283807312827,-0.010988585799961204,0.003791835945057054,0.048945637454053115
2018-01-23,1,1,0,0,1,0,0.01785,0.00876,0,0,0,0,0,0.38725,0.01409,0,1,0,0,0.67303,258.45,255.17,-0.008718770770614337,-0.03260742072956169,0.0024631504867653753,0.02975329397505555,0.04812917855886134
2018-01-24,1,1,0,0,0,0,0.0109,0.00861,0,0,0,0,0,0.38725,0.01479,0,0,0,0,0.67303,255.77,253.54,-0.010985102935946567,0.010036748725649192,0.027265183546054672,-0.04038408345517053,0.07559173351246695
2018-01-25,1,1,0,0,0,0,-0.00198,0.00778,0,0,0,0,0,0.38725,0.01587,0,0,0,0,0.67303,253.07,250.29,-0.01237376761266118,0.023430327705264764,-0.007863329740949165,0.07168802139464336,0.10437871711970614
2018-01-26,1,1,0,0,0,0,-0.01286,0.00636,0,0,0,0,0,0.38725,0.01636,0,0,0,0,0.67303,250.53,247.43,0.03699947259523717,0.05468781694997782,0.0530650330642215,0.08195058623067863,0.11598847823441094
2018-01-29,1,1,1,0,0,0,0.01898,0.00665,0,0,0,0,0,0.38725,0.0182,1,0,0,1,0.67303,246.49,255.61,0.0023455824863172214,-0.028303362001563803,0.014190774042220466,0.042337763878029566,-0.034401876465989134
2018-01-30,1,1,1,0,1,0,0.02125,0.00721,0,0,0,0,0,0.43303,0.01836,0,0,0,1,-0.39933,255.8,256.4,0.009592233009708906,0.008038834951456186,0.022834951456310648,0.03219417475728159,0.012504854368932117
2018-01-31,1,1,1,0,1,1,0.03403,0.00836,0,0,0,0,0,0.75666,0.01869,0,1,0,1,-0.09494,257.5,259.97,-0.008417441257430047,0.03494634379861972,-0.03119639366497784,0.05656839669685265,0.03985319344157667
2018-02-01,1,1,1,0,1,1,0.03398,0.00947,0,0,0,0,0,0.71546,0.01776,1,1,1,1,1.16298,250.67,248.56,-0.0028427643962967153,0.011793630671122823,0.03142407129960434,0.025315969421074724,-0.07179900887403479
2018-02-02,1,1,1,0,1,0,0.02975,0.01027,0,0,0,0,0,0.5722,0.01486,0,1,0,1,-0.35473,260.31,259.57,-0.010790818271943836,-0.07401052390757268,0.016891634256081867,0.01956074124914209,-0.04834896667429256
2018-02-05,1,1,1,0,0,0,0.01185,0.01014,0,0,0,0,0,0.04763,0.01538,1,1,0,1,0.15224,262.26,259.43,-0.009253686427926455,0.00996840204634375,0.0029717123081554053,0.0197863376467049,-0.0015046644598253334
2018-02-07,1,1,1,0,1,1,0.05062,0.01112,1,0,0,0,0,1.07451,0.01663,1,1,1,1,2.57208,265.84,263.38,-0.003569670113244716,0.09424749712785152,0.0905547349417366,0.09995076317085183,0.17401116034794017
2018-02-08,1,1,1,0,1,1,0.05179,0.0129,0,0,0,0,0,0.98944,0.01626,0,1,0,1,-0.45977,243.72,242.85,-0.0032298782298781914,-0.010135135135135198,-0.016743391743391678,0.010543510543510548,0.035454410454410556
2018-02-13,1,1,1,0,1,0,0.05232,0.0182,0,0,0,0,0,0.75476,0.0176,0,1,0,1,-0.39207,269.36,268.49,-0.004702369845120291,-0.008061205448777642,-0.003918641537600354,0.03258070535547675,0.035603657398768584
2018-02-14,1,1,1,0,1,0,0.04342,0.019,0,0,0,0,0,0.55312,0.017,0,1,0,1,-0.39136,267.95,266.69,0.002142373900623884,-0.004547846350447138,0.004998872434789137,0.033902127339697774,0.031158385326618188
2018-02-15,1,1,1,0,1,0,0.04142,0.01951,0,0,1,0,0,0.50128,0.01649,0,1,0,1,-0.38865,266.06,266.63,-0.0019151333082988442,0.0022530980097632547,0.01802478407810737,-0.07247465264739017,0.03203154337213654
2018-02-16,1,1,1,0,0,0,0.03659,0.01977,0,0,0,0,0,0.40556,0.01426,0,0,0,1,-0.60628,266.3,265.79,-0.005332932737446838,0.004206256807000486,0.006797611447027396,-0.020843504713260796,0.013783002215796092
2018-02-19,1,1,1,0,0,0,0.03159,0.01974,0,0,0,0,0,0.31049,0.01449,0,0,0,1,-0.45939,266.27,264.85,0.008654245871282162,0.024526661879747502,0.028683723215297885,-0.014927629341294657,0.022070216545104104
2018-02-20,1,1,1,0,0,0,0.03796,0.01985,0,0,0,0,0,0.41631,0.01459,0,0,0,1,-0.38068,264.61,266.9,0.0017232982429848942,0.004308245607462569,0.03652643015022661,-0.09481886636946013,0.014835350091784383
2018-02-21,1,1,1,0,1,0,0.03825,0.02008,0,0,0,0,0,0.4083,0.01418,0,0,0,1,-0.52537,266.93,267.39,0.012814286247991857,0.016923824111779284,0.027683341427877428,-0.06758321814174173,0.004109537863787427
2018-02-22,1,1,1,0,1,0,0.05048,0.02072,0,0,0,0,0,0.63188,0.01454,0,1,0,1,-0.21006,267.67,271.1,-0.014954988058056173,0.016645232408598387,-0.0924122726437625,-0.024655520852471025,-0.00778982178945431
2018-02-23,1,1,1,0,1,0,0.0372,0.02105,0,0,0,0,0,0.3798,0.01454,0,1,0,1,-0.04104,272.15,268.08,0.018483873381725635,0.029259896729776136,-0.024470553019531383,0.07060540297837314,0.032140986305470465
2018-02-26,1,1,1,0,1,1,0.05095,0.02158,0,0,1,0,0,0.69101,0.01547,0,1,0,0,-0.15774,267.26,272.2,0.018516473403276335,-0.09074176329836181,-0.04045646972206862,0.026725565985643573,0.01866372170071795
2018-02-27,1,1,1,0,1,1,0.0654,0.02279,0,0,0,0,0,0.96923,0.0135,0,1,0,1,-0.24443,271.65,276.68,-0.009113504556752416,-0.06084074781167825,-0.12964230395158682,-0.00043226108569582866,-0.0021613054284789213
2018-02-28,1,1,1,0,1,0,0.05678,0.02387,0,0,0,0,0,0.7349,0.01446,0,1,0,1,-0.24988,277.61,275.08,-0.007075092458594612,0.04783727287345241,0.003296349895481665,0.10287023637240722,0.0639572278501368
2018-03-01,1,1,1,0,1,1,0.07092,0.02511,0,0,0,0,0,0.95782,0.01433,0,1,0,1,-0.06226,248.76,247.0,0.007107540173053373,-0.06667181705809633,0.025339925834363397,0.06161155747836822,0.025224042027194082
2018-03-05,1,1,1,0,1,0,0.06747,0.02769,0,0,1,0,0,0.82474,0.01309,0,1,0,1,-0.29665,258.88,260.72,-0.007236441194393595,-0.04943631931748926,0.08976995734308346,0.028107861060329142,0.0123019500304693
2018-03-07,1,1,1,0,1,0,0.05609,0.0291,0,0,1,0,0,0.61016,0.01399,0,0,0,1,-0.26841,262.56,260.66,0.0010772290354656988,0.09976798143851506,0.15557673185283405,0.12052535631421923,0.0374544249254225
2018-03-08,1,1,1,0,1,1,0.06334,0.02955,0,0,1,0,0,0.74761,0.01462,1,1,1,1,1.51368,241.36,241.62,0.012289596430744343,0.160535388359359,0.1254917866558507,0.09872236868789286,0.030541472317988205
2018-03-09,1,1,1,0,1,1,0.06208,0.03011,0,0,1,0,0,0.69631,0.01455,1,1,0,1,0.793,246.55,249.58,-0.0014295387856444464,0.04924384922127767,0.032089383793544535,0.011097735309608003,-0.008539613272138924
2018-03-12,1,1,1,0,1,1,0.06311,0.03061,0,0,1,0,0,0.69097,0.0139,0,1,0,1,-0.33732,265.82,265.44,0.011596252430616794,-0.018949973484178928,-0.028354251369984262,-0.04532437687820412,-0.08417889340639917
2018-03-13,1,1,1,0,1,1,0.07299,0.03132,0,0,1,0,0,0.83546,0.01454,1,1,0,1,0.19414,282.85,286.13,-0.018786279683377205,-0.03482849604221627,-0.05034300791556734,-0.029551451187335043,-0.0736675461741425
2018-03-14,1,1,1,0,1,0,0.04404,0.03153,0,0,0,0,0,0.27583,0.01574,1,1,0,0,0.07265,284.25,278.91,-0.0055547591743119185,-0.01508744266055062,-0.030784116972477182,-0.008314220183486265,-0.0656536697247706
2018-03-15,1,1,1,0,0,0,0.03715,0.03076,0,0,0,0,0,0.13536,0.0152,0,1,0,0,-0.15872,279.04,277.49,-0.012632260850788168,-0.028503562945368266,-0.02508457496581018,-0.0030590945080256615,-0.07212265169509835
2018-03-16,1,1,0,0,0,0,0.02439,0.02954,0,0,0,0,0,-0.15373,0.01464,1,0,0,0,0.00941,277.86,274.35,0.0033953997809419434,-0.012595837897042661,-0.018729463307776584,-0.03369843008397211,-0.05932822197882437
2018-03-19,1,1,0,0,0,0,0.02513,0.02811,0,0,0,0,0,-0.17305,0.01434,0,0,0,0,-0.27149,273.9,274.83,-0.01864979823317703,-0.015196131893699838,-0.018322608790489747,-0.03511833351510518,-0.06631039371796277
2018-03-20,1,1,0,0,0,0,0.00662,0.02628,0,0,0,0,0,-0.67571,0.01496,1,0,0,0,0.33706,275.07,269.94,0.003450578806767579,-0.002782724844167417,0.023486197684773114,-0.013839418224992461,-0.06697091124962895
2018-03-21,1,1,0,0,0,0,0.00818,0.0242,0,0,0,0,0,-0.67496,0.01402,1,0,0,0,0.71768,269.52,270.45,0.0032962962962963527,0.00011111111111095084,0.02488888888888896,-0.07259259259259254,-0.062444444444444525
2018-03-22,1,1,0,0,0,0,0.00943,0.02241,0,0,0,0,0,-0.6267,0.01414,0,1,0,1,-0.16281,270.0,270.89,-0.006909547738693456,0.019250665090156716,0.02353680165533545,-0.06118829441324258,-0.060005911912503596
2018-03-23,1,1,0,0,0,0,0.00147,0.02052,0,0,0,0,0,-0.85986,0.01451,0,1,0,1,-0.02643,270.64,268.77,0.007386681589255595,0.03234471180749865,-0.012609587763476982,-0.016787912702853958,-0.07573213952620783
2018-03-26,1,1,0,0,0,0,0.00592,0.01882,0,0,0,0,0,-0.69715,0.01518,1,1,1,1,1.33163,268.05,270.03,0.020117599201213032,0.024407381383824367,-0.01849044044229131,-0.042047261565770544,-0.0754040161236641
2018-03-27,1,1,0,0,1,0,0.02649,0.01817,0,0,0,0,0,-0.10266,0.01543,1,1,0,1,0.02036,270.41,275.85,0.0031538879825991906,-0.04052927315570054,-0.036469095522929096,-0.0454594888526374,-0.08540873663222781
2018-03-28,1,1,0,0,1,0,0.02853,0.01801,0,0,0,0,0,-0.02292,0.0144,0,1,0,1,-0.48825,275.85,276.72,0.0015184930763947335,-0.04042083950974351,-0.09468888969232425,-0.057377345529483925,-0.10137749014787223
2018-03-29,1,1,1,0,1,0,0.02842,0.01789,0,0,0,0,0,0.01972,0.01372,0,1,0,1,-0.34872,276.59,277.01,-0.028377386196769327,-0.02426578560939774,-0.06725403817914821,-0.05352422907488985,0.02881791483113072
2018-04-04,1,1,0,0,0,0,-0.0178,0.01287,0,0,0,0,0,-0.94445,0.01567,1,0,0,1,0.037,272.4,264.67,0.017715403197975377,-0.03984048468116119,0.010583227884504831,-0.012040338970052744,0.03240154913915405
2018-04-05,1,1,0,0,0,0,-0.00081,0.0114,0,0,0,0,0,-0.47334,0.01575,0,0,0,1,-0.21146,260.79,265.41,0.015240641711230074,-0.029488158899923622,-0.010542398777692807,-0.01898395721925139,-0.007486631016042966
2018-04-06,1,1,0,0,0,0,0.00054,0.01033,0,0,0,0,0,-0.397,0.01507,0,1,0,1,-0.28352,261.8,265.79,0.003647440779189548,0.05635496412681862,0.05539300172351602,0.007936189827247642,0.011663794140045702
2018-04-09,1,1,0,0,0,0,0.00783,0.00973,0,0,0,0,0,-0.15723,0.014,0,1,0,1,-0.33497,249.49,250.4,0.012593655348318356,0.03236091184441259,0.03905627291567049,0.008847441415590573,0.004383867368085603
2018-04-10,1,1,0,0,0,0,0.0051,0.00912,0,0,0,0,0,-0.19567,0.01371,0,1,0,1,-0.38813,250.92,254.08,-0.005359097256293244,-0.006264860172849884,-0.026984186889081885,-0.03989130845001332,-0.026267124580141243
2018-04-12,1,1,0,0,0,0,-0.02049,0.00574,0,1,0,0,0,-1.00055,0.01629,0,0,0,0,-0.20516,264.97,263.55,-0.016029780445187103,-0.009648256476487038,-0.02130973182405227,-0.05891514092532091,0.023816759097470053
2018-04-13,1,1,0,0,0,0,-0.03644,0.00309,0,1,0,0,0,-1.26346,0.01666,0,0,0,0,-0.29514,263.26,259.04,0.02359664126885397,0.002254703778572509,-0.0015938423262323864,-0.028067174622920188,0.06348157362774054
2018-04-16,1,1,0,0,0,0,-0.01977,0.00157,0,0,0,0,0,-0.69908,0.01698,0,0,0,0,-0.10222,257.24,263.31,-0.009196625370525013,-0.020863418712472437,-0.04434901573306982,-0.041232803830660414,0.05191152998403892
2018-04-17,0,1,0,0,0,0,-0.02829,-0.00026,0,0,0,0,0,-0.85357,0.01797,0,0,0,1,-0.23904,263.14,260.72,-0.010021886879391873,-0.013823292247437058,-0.02799216680105987,-0.04561686441654189,0.05456360634335522
2018-04-18,0,1,0,0,0,0,-0.03762,-0.00252,0,0,0,1,0,-0.96461,0.01946,0,0,0,1,-0.31219,260.43,257.82,-0.005173944939959152,-0.0290358701108151,-0.017722691995829987,0.08208811151009687,0.046102166106799514
2018-04-19,0,1,0,0,0,0,-0.03681,-0.00451,0,0,0,0,0,-0.84801,0.01807,0,0,0,0,-0.19758,258.99,257.65,-0.002253214715823182,-0.01658832213200745,-0.037527679577328055,0.04595781049687253,0.05178508993434594
2018-04-20,0,1,0,0,0,0,-0.03837,-0.00642,0,0,0,0,0,-0.80257,0.01755,0,0,0,0,-0.4375,257.41,256.83,-0.01677353769158585,-0.005317485142320888,-0.02244291523303088,0.015952455426962775,0.05387863622145783
