signal,horizon,quintile,n,mean_forward_return
PB07,1,1,174,0.0002459798388299081
PB07,1,2,172,0.0008956667052119074
PB07,1,3,174,0.0011606083854240118
PB07,1,4,172,-0.0009641538266771659
PB07,1,5,173,0.00027503755730210795
PB07,3,1,173,0.0040769024346175835
PB07,3,2,172,0.0017723013033342143
PB07,3,3,173,0.0019067974239779875
PB07,3,4,172,-0.000500119915935468
PB07,3,5,173,0.0010665029231687183
PB07,5,1,173,0.00977221379566447
PB07,5,2,172,0.0003994930533859224
PB07,5,3,172,0.0023034806090184382
PB07,5,4,172,0.0011392261502162894
PB07,5,5,172,-1.770589366017651e-06
PB07,10,1,172,0.012921594916665691
PB07,10,2,171,0.0031253207475290495
PB07,10,3,171,0.004980125770652088
PB07,10,4,171,0.005321856204955116
PB07,10,5,171,-0.003333639955314033
PB07,20,1,170,0.01858496317652371
PB07,20,2,169,0.002403168827116333
PB07,20,3,169,0.005161999291748681
PB07,20,4,169,0.00849151410070286
PB07,20,5,169,0.005428166203439853
PB08,1,1,173,0.00028702488334113004
PB08,1,2,173,0.0015254290357704313
PB08,1,3,173,-0.001359688828154461
PB08,1,4,174,0.0011418275839473575
PB08,1,5,172,2.059129766862622e-05
PB08,3,1,173,0.003851658195175032
PB08,3,2,173,0.0013561397407470023
PB08,3,3,172,-0.002176099885677748
PB08,3,4,173,0.005060631803667368
PB08,3,5,172,0.00021134369340356082
PB08,5,1,173,0.006054944575461565
PB08,5,2,173,0.004067798985679815
PB08,5,3,171,-0.002473769017295051
PB08,5,4,172,0.007270632252081069
PB08,5,5,172,-0.0013233841187685975
PB08,10,1,172,0.012249820219600284
PB08,10,2,171,-0.0014275607796328511
PB08,10,3,171,0.0017073716040955545
PB08,10,4,171,0.011947665840057872
PB08,10,5,171,-0.0014581106926325638
PB08,20,1,170,0.01959836099042585
PB08,20,2,169,-0.005240201755366179
PB08,20,3,169,0.00481325467241038
PB08,20,4,169,0.012972238193268266
PB08,20,5,169,0.007920163062024463
BB06,1,1,173,0.0004475291274290944
BB06,1,2,173,0.0003469153805372738
BB06,1,3,173,0.0013800417315717182
BB06,1,4,173,0.00013680959945332395
BB06,1,5,173,-0.0006896307318155592
BB06,3,1,173,0.005039363443848284
BB06,3,2,172,0.00015766102884257383
BB06,3,3,173,-0.001858936021768589
BB06,3,4,172,-0.0010296869078557033
BB06,3,5,173,0.006001588364440909
BB06,5,1,173,0.011171770710430212
BB06,5,2,172,-0.0016008886585255403
BB06,5,3,188,-0.002050013784634288
BB06,5,4,156,-1.9533090504317356e-05
BB06,5,5,172,0.006292052808381603
BB06,10,1,172,0.011724663333128873
BB06,10,2,171,-0.0018533907114928843
BB06,10,3,185,0.007213162721635744
BB06,10,4,157,-0.004083376330778781
BB06,10,5,171,0.009096335425502174
BB06,20,1,170,0.008405137516779581
BB06,20,2,169,0.007298481233114196
BB06,20,3,169,0.012426715231195871
BB06,20,4,169,0.005937225335280776
BB06,20,5,169,0.006062487937952397
BB07,1,1,174,-0.00018625854891761678
BB07,1,2,172,-0.00022802948008852683
BB07,1,3,173,-0.0002877525277962577
BB07,1,4,173,0.0007580997595565402
BB07,1,5,173,0.0015653644539525163
BB07,3,1,174,0.0028220259609707545
BB07,3,2,171,-0.0006881681734906634
BB07,3,3,173,0.0019226899010343391
BB07,3,4,172,0.0007281089828097057
BB07,3,5,173,0.003510314580425367
BB07,5,1,174,0.0017216852623375938
BB07,5,2,171,0.0009558591925163977
BB07,5,3,172,0.005734560254071624
BB07,5,4,174,-0.004695225196582539
BB07,5,5,170,0.010110273388163222
BB07,10,1,174,0.002967076915882002
BB07,10,2,169,0.004111447058526528
BB07,10,3,171,0.008000621680563836
BB07,10,4,172,-0.0037575227925552685
BB07,10,5,170,0.011856543150898456
BB07,20,1,170,0.004199559997088201
BB07,20,2,169,0.003039306780402775
BB07,20,3,169,0.024660709435899906
BB07,20,4,170,-0.00523967437041521
BB07,20,5,168,0.013606546585760559
VB05,1,1,173,9.472971656777289e-05
VB05,1,2,173,-0.0002635421208319036
VB05,1,3,173,0.0012067098530481627
VB05,1,4,173,0.0003063973007216104
VB05,1,5,173,0.00027737035767020875
VB05,3,1,173,0.0029227875940573416
VB05,3,2,172,-0.0003247254232338361
VB05,3,3,173,0.004964067278908224
VB05,3,4,172,0.0023440806026701925
VB05,3,5,173,-0.0015795069595854895
VB05,5,1,173,0.004957251574792989
VB05,5,2,172,0.002035280642873316
VB05,5,3,172,0.0034752376541501615
VB05,5,4,172,0.0029016571218137954
VB05,5,5,172,0.0002712099916892562
VB05,10,1,172,0.008460591107455858
VB05,10,2,171,0.00240911649554172
VB05,10,3,171,0.001919800194059916
VB05,10,4,171,0.006305467090574415
VB05,10,5,171,0.003946370538430328
VB05,20,1,170,0.01554717841389675
VB05,20,2,169,0.006049834309093844
VB05,20,3,169,0.005857170657904296
VB05,20,4,169,0.006768985672013524
VB05,20,5,169,0.005864617604390042
