signal,type,horizon,n,n1,n0,mean_1,mean_0,spread_1_minus_0,tstat_spread,pearson_ic,spearman_ic
PB01,binary,1,865,575,290,5.909920650111644e-05,0.00085022765449407,-0.0007911284479929536,-1.0467151407700492,-0.036648469679568085,-0.048476638488383995
PB01,binary,3,863,573,290,0.00034931638503085986,0.004270144797431461,-0.003920828412400601,-1.2876216306133785,-0.043578113029680864,-0.0544046588424181
PB01,binary,5,861,571,290,0.0006551366981481259,0.006817461235886796,-0.00616232453773867,-1.6578326171505786,-0.05802130308490958,-0.05117583990305081
PB01,binary,10,856,566,290,0.0029615634721854127,0.007835468047266054,-0.004873904575080641,-1.2493092615081103,-0.04295171536298697,-0.04298147213926206
PB01,binary,20,846,556,290,0.006990184864284272,0.010013242548121656,-0.0030230576838373843,-0.8102734959887823,-0.028511835384124162,-0.0300819638221095
PB02,binary,1,865,666,199,0.00022426867187805047,0.0006592217490986967,-0.0004349530772206462,-0.47858005368878903,-0.017963128737888148,-0.032918899957700004
PB02,binary,3,863,664,199,0.0013872027453074734,0.0025999882260987137,-0.0012127854807912402,-0.3137568990567803,-0.012020121051011388,-0.02060540620393331
PB02,binary,5,861,662,199,0.0021916268502494085,0.004524069538616291,-0.0023324426883668823,-0.4902051734985998,-0.019588102719706856,-0.0185672268237224
PB02,binary,10,856,657,199,0.004320855199514083,0.005576526597403746,-0.001255671397889663,-0.25713850813503364,-0.009876009550534507,-0.012932362855744705
PB02,binary,20,846,647,199,0.007515732472629201,0.009686955847770067,-0.0021712233751408653,-0.5327578832593874,-0.0182989230333153,-0.03288217291199256
PB03,binary,1,865,477,388,-0.00012943623253217393,0.0008821885218022403,-0.0010116247543344142,-1.4431136820784707,-0.04937082928035732,-0.05339602136151772
PB03,binary,3,863,477,386,0.00106216979474626,0.0024141069631705707,-0.0013519371684243106,-0.46630300232528343,-0.01581698214643628,-0.03246997024816528
PB03,binary,5,861,477,384,0.0019089466049147731,0.0037515085481911545,-0.0018425619432763814,-0.5425741520687298,-0.01824621370662878,-0.028597111751079724
PB03,binary,10,856,476,380,0.003635397344574677,0.005837056639333033,-0.002201659294758356,-0.5994469663089168,-0.02036768473882475,-0.013692497615376982
PB03,binary,20,846,467,379,0.006122422594968393,0.01037259042650949,-0.004250167831541097,-1.2220756181103243,-0.04199779324552489,-0.05348718358289329
PB04,binary,1,865,482,383,-1.7389584062669803e-05,0.0007543860132105198,-0.0007717755972731896,-1.0743883054348864,-0.03761749487576638,-0.03252949555872032
PB04,binary,3,863,481,382,0.00040442299533999677,0.0032564733484797587,-0.002852050353139762,-0.974548674075469,-0.03333309828000484,-0.03236306407139382
PB04,binary,5,861,479,382,0.0010662393249194972,0.004817848629354217,-0.0037516093044347196,-1.0799528193823764,-0.03713153482134624,-0.035901325745521795
PB04,binary,10,856,474,382,0.003199485702524276,0.006366425225046052,-0.0031669395225217764,-0.8522479155929968,-0.029312772583139978,-0.01788896020506919
PB04,binary,20,846,464,382,0.006601692102448955,0.00975706279570948,-0.0031553706932605247,-0.8998174194020164,-0.031202069889678274,-0.054717924957935385
PB05,binary,1,865,458,407,0.00023360151451672114,0.00042643383266035374,-0.0001928323181436326,-0.27710753080014516,-0.009444646067849241,-0.01036091324614923
PB05,binary,3,863,458,405,0.00297315068123653,0.00018962288363327326,0.0027835277976032565,0.9659092914689541,0.03268662553954716,0.012731235965964559
