signal,horizon,quintile,n,mean_return,median_return,hit_rate
PB07,1,1,174,0.0002459798388299081,0.00011013037055540575,0.5172413793103449
PB07,1,2,173,0.0008877471551679707,-0.00037946736580662943,0.48554913294797686
PB07,1,3,173,0.0011700593902668622,0.00036386791594655854,0.5317919075144508
PB07,1,4,172,-0.0009641538266771659,9.586220483803753e-06,0.5
PB07,1,5,173,0.00027503755730210795,0.00030637254901955124,0.5202312138728323
PB07,3,1,173,0.0040769024346175835,0.0,0.49710982658959535
PB07,3,2,172,0.0017723013033342143,-0.0009575770527516236,0.48255813953488375
PB07,3,3,173,0.0019067974239779875,0.0008524201319399793,0.5260115606936416
PB07,3,4,172,-0.000500119915935468,-0.0006398480264877549,0.47093023255813954
PB07,3,5,173,0.0010665029231687183,0.0004937783922576156,0.5086705202312138
PB07,5,1,171,0.009956398940015218,0.002622898700472831,0.5146198830409356
PB07,5,2,172,-0.00020652276420120264,0.0007955482872644692,0.5116279069767442
PB07,5,3,173,0.0030968779229821916,0.0006138070479491109,0.5202312138728323
PB07,5,4,172,0.0010936387798895033,0.0012929520331110833,0.5348837209302325
PB07,5,5,173,-0.00022971815645756604,-0.0008887514973531241,0.49710982658959535
PB07,10,1,170,0.01352284284244997,0.007128187968592492,0.5470588235294118
PB07,10,2,169,0.0015808202863978012,0.0033998186763370963,0.5384615384615384
PB07,10,3,173,0.005629227595553608,0.004746366063482554,0.5895953757225434
PB07,10,4,171,0.005893332289484813,0.0008973872225865875,0.5146198830409356
PB07,10,5,173,-0.0034631644403832454,-0.006053516595993513,0.4682080924855491
PB07,20,1,170,0.01858496317652371,0.014641805947101516,0.6058823529411764
PB07,20,2,169,0.002403168827116333,0.0010059135523989848,0.5266272189349113
PB07,20,3,171,0.005251987667155723,0.002489203454894451,0.5380116959064327
PB07,20,4,167,0.008439244743956178,0.0010772766446420778,0.5269461077844312
PB07,20,5,169,0.005428166203439853,0.0005556367890042768,0.5029585798816568
PB08,1,1,174,0.00020905016178786014,0.00011228900295190414,0.5172413793103449
PB08,1,2,173,0.0016177659217092308,0.000426985482493647,0.5433526011560693
PB08,1,3,172,-0.0013832550690186407,-0.001182940516595954,0.42441860465116277
PB08,1,4,174,0.0011418275839473575,0.00041640525144159835,0.5402298850574713
PB08,1,5,172,2.059129766862622e-05,0.0005754007105525094,0.5290697674418605
PB08,3,1,174,0.004453857479229326,-0.0002161893264836512,0.4827586206896552
PB08,3,2,173,0.0006603150296199477,3.0845157310332993e-05,0.5028901734104047
PB08,3,3,170,-0.0020401024257773216,-0.0029071781346606818,0.4235294117647059
PB08,3,4,174,0.00494115445680681,0.002681178278230001,0.5689655172413793
PB08,3,5,172,0.00021134369340356082,0.00019698326831585344,0.5058139534883721
PB08,5,1,174,0.006418657905563298,0.0007339779389284873,0.5114942528735632
PB08,5,2,173,0.003615373347288286,0.0025303335162492058,0.5549132947976878
PB08,5,3,168,-0.0025623471758272334,-0.0030410896364948536,0.4107142857142857
