signal,horizon,usable_n,missing_signal,missing_target,signal_type
PB01,1,865,0,1,binary
PB01,3,863,0,3,binary
PB01,5,861,0,5,binary
PB01,10,856,0,10,binary
PB01,20,846,0,20,binary
PB02,1,865,0,1,binary
PB02,3,863,0,3,binary
PB02,5,861,0,5,binary
PB02,10,856,0,10,binary
PB02,20,846,0,20,binary
PB03,1,865,0,1,binary
PB03,3,863,0,3,binary
PB03,5,861,0,5,binary
PB03,10,856,0,10,binary
PB03,20,846,0,20,binary
PB04,1,865,0,1,binary
PB04,3,863,0,3,binary
PB04,5,861,0,5,binary
PB04,10,856,0,10,binary
PB04,20,846,0,20,binary
PB05,1,865,0,1,binary
PB05,3,863,0,3,binary
PB05,5,861,0,5,binary
PB05,10,856,0,10,binary
PB05,20,846,0,20,binary
PB06,1,865,0,1,binary
PB06,3,863,0,3,binary
PB06,5,861,0,5,binary
PB06,10,856,0,10,binary
PB06,20,846,0,20,binary
PB07,1,865,0,1,continuous
PB07,3,863,0,3,continuous
PB07,5,861,0,5,continuous
PB07,10,856,0,10,continuous
PB07,20,846,0,20,continuous
PB08,1,865,0,1,continuous
PB08,3,863,0,3,continuous
PB08,5,861,0,5,continuous
PB08,10,856,0,10,continuous
PB08,20,846,0,20,continuous
BB01,1,865,0,1,binary
BB01,3,863,0,3,binary
BB01,5,861,0,5,binary
BB01,10,856,0,10,binary
BB01,20,846,0,20,binary
BB02,1,865,0,1,binary
BB02,3,863,0,3,binary
BB02,5,861,0,5,binary
BB02,10,856,0,10,binary
BB02,20,846,0,20,binary
BB03,1,865,0,1,binary
BB03,3,863,0,3,binary
BB03,5,861,0,5,binary
BB03,10,856,0,10,binary
BB03,20,846,0,20,binary
BB04,1,865,0,1,binary
BB04,3,863,0,3,binary
BB04,5,861,0,5,binary
BB04,10,856,0,10,binary
BB04,20,846,0,20,binary
BB05,1,865,0,1,binary
BB05,3,863,0,3,binary
BB05,5,861,0,5,binary
BB05,10,856,0,10,binary
BB05,20,846,0,20,binary
BB06,1,865,0,1,continuous
BB06,3,863,0,3,continuous
BB06,5,861,0,5,continuous
BB06,10,856,0,10,continuous
BB06,20,846,0,20,continuous
BB07,1,865,0,1,continuous
BB07,3,863,0,3,continuous
BB07,5,861,0,5,continuous
BB07,10,856,0,10,continuous
BB07,20,846,0,20,continuous
VB01,1,865,0,1,binary
VB01,3,863,0,3,binary
VB01,5,861,0,5,binary
VB01,10,856,0,10,binary
VB01,20,846,0,20,binary
VB02,1,865,0,1,binary
VB02,3,863,0,3,binary
VB02,5,861,0,5,binary
VB02,10,856,0,10,binary
VB02,20,846,0,20,binary
VB03,1,865,0,1,binary
VB03,3,863,0,3,binary
VB03,5,861,0,5,binary
VB03,10,856,0,10,binary
VB03,20,846,0,20,binary
VB04,1,865,0,1,binary
VB04,3,863,0,3,binary
VB04,5,861,0,5,binary
VB04,10,856,0,10,binary
VB04,20,846,0,20,binary
VB05,1,865,0,1,continuous
VB05,3,863,0,3,continuous
VB05,5,861,0,5,continuous
VB05,10,856,0,10,continuous
VB05,20,846,0,20,continuous
