signal,type,year,horizon,n,coef,hac_tstat,hac_pvalue,spearman_ic,n1,n0,mean_1,mean_0,spread_1_minus_0
PB01,binary,2018,1,227,-0.0014600805486433366,-0.8707979695790251,0.3838644741028727,-0.10022432314238251,144.0,83.0,0.00021931585594796917,0.0016793964045913065,-0.0014600805486433372
PB01,binary,2019,1,228,0.0012670017926158024,0.8776847877572016,0.38011480212735205,0.06454579713484834,118.0,110.0,0.0003653039191475805,-0.0009016978734682203,0.001267001792615801
PB01,binary,2020,1,230,-0.0039046316100863543,-1.8645955810651946,0.062238112734842505,-0.1380087553611835,184.0,46.0,-0.00034430398349345867,0.003560327626592894,-0.003904631610086353
PB01,binary,2021,1,180,-0.0006594998873293825,-0.8812354166364116,0.378190413676217,-0.06086004180607798,129.0,51.0,0.00017555527895361467,0.0008350551662829989,-0.0006594998873293843
PB01,binary,2018,3,227,-0.0020079397748109457,-0.2789906092042892,0.7802520315246966,-0.03810757690511201,144.0,83.0,0.001625972549816906,0.0036339123246278415,-0.0020079397748109353
PB01,binary,2019,3,228,-0.0017293792563557277,-0.2415204719767754,0.8091517516955946,0.020003862748403413,118.0,110.0,-0.00018022121113824924,0.0015491580452174781,-0.0017293792563557273
PB01,binary,2020,3,230,-0.014878021236332537,-1.7529643652329752,0.07960812399146212,-0.1889230174220709,184.0,46.0,-0.00036297358766886235,0.014515047648663662,-0.014878021236332525
PB01,binary,2021,3,178,-0.00150811658346477,-0.5560371316500735,0.5781854712552754,-0.11014858111511325,127.0,51.0,0.00042575972042860105,0.0019338763038933679,-0.0015081165834647668
PB01,binary,2018,5,227,-0.004317853749943163,-0.4280991635154628,0.6685789257646142,-0.06728150940756039,144.0,83.0,0.0025196393821335394,0.006837493132076688,-0.004317853749943149
PB01,binary,2019,5,228,-0.007177615100939442,-0.7131552241330024,0.47574971001690236,-0.01773675830358436,118.0,110.0,-0.0026155725760232413,0.004562042524916189,-0.0071776151009394305
PB01,binary,2020,5,230,-0.012798603292360159,-0.9925611763243337,0.3209238525636313,-0.0828379955074245,184.0,46.0,0.002093798461612989,0.014892401753973144,-0.012798603292360156
PB01,binary,2021,5,176,-0.004889140170908709,-1.3213516884659782,0.18638412674275506,-0.13570698261446723,125.0,51.0,-0.0005229309548055791,0.004366209216103133,-0.004889140170908712
