entry_date,exit_date,entry_price,exit_price,gross_return,entry_cost,exit_cost,net_return,holding_days
2018-04-12,2018-05-14,264.97,269.53,0.01720949541457503,0.05,0.05,0.016209495414575028,32
2018-05-30,2018-07-03,262.59,278.63,0.0610838188811456,0.05,0.05,0.0600838188811456,34
2018-07-05,2018-08-03,264.48,281.27,0.06348306110102829,0.05,0.05,0.06248306110102829,29
2018-08-06,2018-09-07,259.45,266.63,0.027673925611871295,0.05,0.05,0.026673925611871294,32
2019-03-14,2019-04-15,279.23,283.33,0.014683236041972445,0.05,0.05,0.013683236041972444,32
2019-04-16,2019-05-16,281.61,278.02,-0.012748126842086685,0.05,0.05,-0.013748126842086685,30
2019-05-20,2019-06-20,275.67,300.98,0.09181267457467261,0.05,0.05,0.09081267457467261,31
2019-08-08,2019-09-13,284.55,272.4,-0.042698998418555734,0.05,0.05,-0.043698998418555735,36
2019-09-16,2019-10-21,273.46,263.33,-0.03704380896657645,0.05,0.05,-0.03804380896657645,35
2019-10-22,2019-11-21,263.52,270.34,0.025880388585306596,0.05,0.05,0.024880388585306595,30
2019-12-30,2020-01-30,253.75,255.93,0.008591133004926135,0.05,0.05,0.007591133004926135,31
2020-01-31,2020-03-02,256.16,262.73,0.02564803247970016,0.05,0.05,0.02464803247970016,31
2020-08-07,2020-09-10,287.09,290.86,0.013131770524922634,0.05,0.05,0.012131770524922633,34
2021-07-14,2021-08-16,321.48,333.93,0.03872713699141467,0.05,0.05,0.03772713699141467,33
2021-10-22,2021-11-01,337.94,333.13,-0.014233295851334564,0.05,0.05,-0.015233295851334563,10
