entry_date,exit_date,entry_price,exit_price,gross_return,net_return,holding_days
2018-02-08,2018-03-14,243.72,278.91,14.438700147710499,14.338700147710497,34
2018-06-27,2018-07-27,270.71,244.31,-9.752133279154808,-9.852133279154808,30
2018-09-19,2018-10-22,256.2,252.34,-1.506635441061665,-1.606635441061665,33
2018-11-14,2018-12-14,261.12,261.88,0.2910539215686239,0.19105392156862394,30
2019-01-07,2019-02-05,298.67,285.14,-4.53008336960526,-4.63008336960526,29
2019-02-08,2019-03-13,288.13,279.46,-3.0090584111338687,-3.109058411133869,33
2019-06-03,2019-07-05,297.57,278.28,-6.482508317370709,-6.58250831737071,32
2019-09-19,2019-10-24,278.04,254.84,-8.344123147748531,-8.444123147748531,35
2019-12-17,2020-01-17,275.49,277.32,0.6642709354241476,0.5642709354241475,31
2020-01-20,2020-02-18,276.88,263.91,-4.684339786188952,-4.784339786188952,29
2020-06-01,2020-07-07,259.37,286.48,10.452249681921584,10.352249681921585,36
2020-09-10,2020-10-12,288.12,335.79,16.545189504373184,16.445189504373182,32
2020-10-29,2020-11-30,310.76,307.14,-1.16488608572532,-1.2648860857253201,32
2020-12-03,2021-01-07,275.28,326.45,18.588346410927066,18.488346410927065,35
2021-05-05,2021-06-10,331.17,350.72,5.903312498112754,5.803312498112755,36
2021-08-10,2021-09-13,354.83,339.98,-4.185102725248701,-4.285102725248701,34
2021-10-06,2021-11-01,328.2,333.13,1.5021328458257182,1.4021328458257183,26
