entry_date,exit_date,entry_price,exit_price,gross_return,net_return,holding_days
2018-04-05,2018-05-07,260.79,259.84,-0.3642777713869571,-0.4642777713869571,32
2018-05-30,2018-07-03,262.59,278.63,6.10838188811456,6.00838188811456,34
2018-07-05,2018-08-03,264.48,281.27,6.348306110102829,6.2483061101028285,29
2018-08-03,2018-09-05,278.55,269.29,-3.3243582839705583,-3.4243582839705584,33
2019-03-14,2019-04-15,279.23,283.33,1.4683236041972445,1.3683236041972444,32
2019-04-15,2019-05-15,288.28,279.73,-2.965866518662396,-3.065866518662396,30
2019-05-15,2019-06-17,275.97,303.93,10.131536036525702,10.0315360365257,33
2019-07-11,2019-08-14,262.23,281.86,7.485794912862752,7.385794912862751,34
2019-08-14,2019-09-17,283.19,274.28,-3.146297538754909,-3.246297538754909,34
2019-09-17,2019-10-22,273.97,263.98,-3.646384640654089,-3.7463846406540893,35
2019-10-22,2019-11-21,263.52,270.34,2.5880388585306595,2.4880388585306594,30
2019-12-27,2020-01-29,263.53,257.73,-2.2008879444465355,-2.3008879444465355,33
2020-01-29,2020-02-27,257.62,270.86,5.139352534741095,5.039352534741095,29
2020-07-30,2020-09-01,279.39,257.42,-7.863559898349967,-7.963559898349967,33
2020-09-01,2020-10-01,257.71,261.09,1.3115517442086049,1.2115517442086048,30
2021-02-26,2021-04-02,322.2,333.66,3.556797020484183,3.4567970204841827,35
2021-05-14,2021-06-16,323.33,328.05,1.4598088640089157,1.3598088640089157,33
2021-07-14,2021-08-16,321.48,333.93,3.8727136991414666,3.772713699141467,33
2021-10-22,2021-11-01,337.94,333.13,-1.4233295851334564,-1.5233295851334563,10
